q_tag,path,title,summary,created-on,last-modified
106,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/reading,Reading Club,nan,nan,nan
107,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/qalami,Qalami Club,nan,nan,nan
108,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/peer,Peer Health Educators,nan,nan,nan
109,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/microbi,Microbi Club,nan,nan,nan
110,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/korean,Korean Club,nan,nan,nan
111,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/japan,Japan Club,nan,nan,nan
112,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/howeyati,Howeyati Club,nan,nan,nan
113,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/harmony,Harmony Club,nan,nan,nan
114,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/happiness,Happiness Club,nan,nan,nan
115,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/entrepreneurship,Entrepreneurship Club,nan,nan,nan
116,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/chess,Chess Club,nan,nan,nan
117,https://www.zu.ac.ae/main/en/student-leadership-office/student-council,Student Council,nan,nan,nan
118,https://www.zu.ac.ae/main/en/student-leadership-office/index,Student Leadership Department,nan,nan,nan
119,https://www.zu.ac.ae/main/en/student-leadership-office/index,Student Leadership Department,nan,nan,nan
120,https://www.zu.ac.ae/main/en/GCF2021/_hidden/GCF,Register Now,nan,nan,nan
121,https://www.zu.ac.ae/main/en/GCF2021/register,Register,nan,nan,nan
122,https://www.zu.ac.ae/main/en/GCF2021/gallery,Gallery,nan,nan,nan
123,https://www.zu.ac.ae/main/en/GCF2021/speakers,Speakers,nan,nan,nan
124,https://www.zu.ac.ae/main/en/GCF2021/agenda,Agenda,nan,nan,nan
125,https://www.zu.ac.ae/main/en/GCF2021/index,Introduction,nan,nan,nan
126,https://www.zu.ac.ae/main/en/GCF2021/index,Introduction,nan,nan,nan
127,https://www.zu.ac.ae/main/en/GSD-welcome/GSD,Master's Degree Programs,nan,nan,nan
128,https://www.zu.ac.ae/main/en/RUH2019/Dir_to_DXB,Directions to Zayed University- Dubai Campus,nan,nan,nan
129,https://www.zu.ac.ae/main/en/RUH2019/contact-us,Contact Us,nan,nan,nan
130,https://www.zu.ac.ae/main/en/RUH2019/sponsor,Sponsor,nan,nan,nan
131,https://www.zu.ac.ae/main/en/RUH2019/Emirates-Flashes,Emirates Flashes Magazine ,nan,nan,nan
132,https://www.zu.ac.ae/main/en/RUH2019/Panel,Academic Session: Fazza tournaments: A model for applications of innovation in the field of heritage,nan,nan,nan
133,https://www.zu.ac.ae/main/en/RUH2019/keynote-speaker,Keynote Speaker,nan,nan,nan
134,https://www.zu.ac.ae/main/en/RUH2019/Academic_Committee,Academic Committee,the name of members of the  Academic_Committee,nan,nan
135,https://www.zu.ac.ae/main/en/RUH2019/_images/welcome,Research on UAE Heritage: State of the Art and Future Perspectives ,nan,nan,nan
136,https://www.zu.ac.ae/main/en/RUH2019/Program,Program,nan,nan,nan
137,https://www.zu.ac.ae/main/en/RUH2019/index,About the Conference,nan,nan,nan
138,https://www.zu.ac.ae/main/en/RUH2019/index,About the Conference,nan,nan,nan
139,https://www.zu.ac.ae/main/en/RUH2019/_ebook/emirates-flashes-06,Emirates Flashes March 2021,nan,nan,nan
140,https://www.zu.ac.ae/main/en/RUH2019/_ebook/year-of-zayed,Year of Zayed,nan,nan,nan
141,https://www.zu.ac.ae/main/en/RUH2019/_ebook/emirates-flashes-05,Emirates Flashes Issue 5,nan,nan,nan
142,https://www.zu.ac.ae/main/en/RUH2019/_ebook/emirates-flashes-04,Emirates Flashes Issue 4,nan,nan,nan
143,https://www.zu.ac.ae/main/en/RUH2019/_ebook/emirates-flashes-03,Emirates Flashes Issue 3,nan,nan,nan
144,https://www.zu.ac.ae/main/en/RUH2019/_ebook/emirates-flashes-02,Emirates Flashes Issue 2,nan,nan,nan
145,https://www.zu.ac.ae/main/en/RUH2019/_ebook/emirates-flashes-01,Emirates Flashes Issue 1,nan,nan,nan
146,https://www.zu.ac.ae/main/en/chat-bot,Zayed University Live Support,nan,nan,nan
147,https://www.zu.ac.ae/main/en/espen/_unused/speakers,Speakers,nan,nan,nan
148,https://www.zu.ac.ae/main/en/espen/_unused/_events_items/Naji-Abuirmeileh,Dietary Lifestyle Choice for Controlling Blood Glucose in Type II Diabetics,Type I diabetes is defined as a state of hyperglycemia resulting from a lack of insulin secretion by the beta cells in the islets of Langerhans of the pancreas.,nan,nan
149,https://www.zu.ac.ae/main/en/espen/_unused/_events_items/Sharon-Barett,Health Literacy and the Culture of Health in the UAE,The purpose of this presentation is to provide an overview of health literacy and some key concepts,nan,nan
150,https://www.zu.ac.ae/main/en/espen/_unused/_events_items/Eleni-Andreou,Weight Management Through Lifestyle Modification for the Prevention and Management of Type 2 Diabetes: Rationale and Strategies,The purpose of this presentation is to evaluate the significant role of weight management in the prevention and management of type 2 diabetes and to describe strategies for achieving and maintaining a healthy body weight through lifestyle modification.,nan,nan
151,https://www.zu.ac.ae/main/en/espen/_unused/events/index,Lectures from the event,nan,nan,nan
152,https://www.zu.ac.ae/main/en/espen/_unused/_events_items/Naji-Abuirmeileh,Dietary Lifestyle Choice for Controlling Blood Glucose in Type II Diabetics,Type I diabetes is defined as a state of hyperglycemia resulting from a lack of insulin secretion by the beta cells in the islets of Langerhans of the pancreas.,nan,nan
153,https://www.zu.ac.ae/main/en/espen/_unused/_events_items/Sharon-Barett,Health Literacy and the Culture of Health in the UAE,The purpose of this presentation is to provide an overview of health literacy and some key concepts,nan,nan
154,https://www.zu.ac.ae/main/en/espen/_unused/_events_items/Eleni-Andreou,Weight Management Through Lifestyle Modification for the Prevention and Management of Type 2 Diabetes: Rationale and Strategies,The purpose of this presentation is to evaluate the significant role of weight management in the prevention and management of type 2 diabetes and to describe strategies for achieving and maintaining a healthy body weight through lifestyle modification.,nan,nan
155,https://www.zu.ac.ae/main/en/espen/_unused/register-now,Register Now,nan,nan,nan
156,https://www.zu.ac.ae/main/en/espen/_unused/about,About the Forum,nan,nan,nan
157,https://www.zu.ac.ae/main/en/espen/location,Location & Contact Details,nan,nan,nan
158,https://www.zu.ac.ae/main/en/espen/faculty,Faculty of Health Sciences Department,nan,nan,nan
159,https://www.zu.ac.ae/main/en/espen/speakers,Speakers,nan,nan,nan
160,https://www.zu.ac.ae/main/en/espen/scientific-program,Scientific program ,nan,nan,nan
161,https://www.zu.ac.ae/main/en/espen/practical-info,Practical Info,nan,nan,nan
162,https://www.zu.ac.ae/main/en/espen/registration,Registration Details,nan,nan,nan
163,https://www.zu.ac.ae/main/en/espen/index,About ESPEN LLL,nan,nan,nan
164,https://www.zu.ac.ae/main/en/espen/index,About ESPEN LLL,nan,nan,nan
165,https://www.zu.ac.ae/main/en/open-data-policy,Open Data Policy,nan,nan,nan
166,https://www.zu.ac.ae/main/en/index,"Zayed University, United Arab Emirates",Zayed University is most rapidly growing universities in the United Arab Emirates and Dubai.,nan,nan
167,https://www.zu.ac.ae/main/en/bkcupindexNov1.2018,"Zayed University, United Arab Emirates",most rapidly growing universities in the United Arab Emirates,nan,nan
168,https://www.zu.ac.ae/main/en/offline,Internet Connection Problem,nan,nan,nan
169,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/pubs,Sheikh Zayed Images placed on all ZU publications,"In addition to all the above-held initiatives for the Year of Zayed 2018, Zayed University has placed images and quotes by Late Sheikh Zayed on all publications: such as booklets, calendars, books, etc.",nan,nan
170,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/khair,Zayed Al Khair Exhibition,"The Ousha bint Hussein Cultural Center in cooperation with Zayed University, held the Zayed Al Khair Exhibition at the campus in Dubai, with the participation of 17 businesswomen entrepreneurs, from different emirates in the framework of supporting these national projects.",nan,nan
171,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/memory,Zayed's Centennial: A People's Memory and a Nation's Future Forum,"Under the patronage of H.E Sheikha Lubna bint Khalid Al Qasimi, President of Zayed University, The College of Humanities and Social Sciences at Zayed University has organized a special event dedicated to the founder of the UAE, late Sheikh Zayed bin Sultan.",nan,nan
172,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/grad18,The 2018 Students Graduation Ceremony,"The 2018 ZU graduation ceremonies were held under The Year of Zayed theme, as many pictures of the late founder of the UAE were placed around all corners of the hall. Students have also considered a space dedicated to his legacy in their graduation speeches",nan,nan
173,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/youth,"""The role of youth in planning the Centennial of UAE's Union"" workshop","Zayed University hosted a youth workshop in Dubai entitled ""The Role of Youth in Planning the Union's Centennial"" which comes in the framework of the youth seminars organized by the Emirates Youth Council. The seminar was attended by Prof Reyadh Al Mehaideb, Vice President of ZU, H.E Saeed Ali Al Rumaithi, Member of the Federal National Council. Dr Karima Al Mazroui, Acting Executive Director P12 Sector, Abu Dhabi Education Council.",nan,nan
174,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/mags,"""Zayed"" Special Edition Magazine ","The College of Humanities and Social Sciences, sponsored by the Hamdan Bin Mohammed Heritage Center, printed a Special Edition ""Zayed"" magazine dedicated to late founder's journey and historical moments, the publication was enclosed with the centre's 3rd edition Emirati Flashes Magazine. ",nan,nan
175,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/mfatima,"""Tailoring Workshop of our Mother Fatima"" – in Greece","Under the patronage of H.E Sheikha Lubna bint Khalid Al Qasimi, President of Zayed University, the 'Tailoring Workshop of our Mother Fatima' was inaugurated at the Ritsona and Larissa Camps, Greece, for Syrian Refugees. ",nan,nan
176,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/zayed-path,Zayed's Path Seminar ,"The Zayed University Happiness, Tolerance and Positivity Office organized a seminar entitled ""Zayed Path"" to participate in the Year of Zayed celebrations. Participants reviewed memories from the times of the late Sheikh Zayed bin Sultan Al Nahyan, his great impact and achievements witnessed beyond the present and the future.",nan,nan
177,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/faec,"First Annual Education Conference - held under ""Zayed's Legacy""","The annual conference, which held its first meeting for two days under the title, ""Zayed's Legacy"", aims to serve as a platform for practitioners, administrators and academics in the field of education to share, collaborate and explore innovative approaches to creating successful teaching and learning environments for students.",nan,nan
178,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/zumeff,"The ninth edition of the ZUMEFF festival was held under ""Year of Zayed""","The 9th annual Zayed University Middle East Film Festival (ZUMEFF) took place on the evenings of Feb 26 to Feb 28, 2018, at the vibrant cultural hub of Warehouse421 in Abu Dhabi’s Mina area. The event was held under the 'Year of Zayed' Award, which was landed by Hooreya Al Muflahi from Zayed University in Abu Dhabi for her short film, 'Sheikh Zayed's 100th birthday'. ",nan,nan
179,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/bfsu,ZU and Beijing Foreign Studies University (BFSU) join hands in (Year of Zayed) celebrations,"Zayed University inked a MoU with the Sheikh Zayed bin Sultan Cultural Centre and Mosque at Beijing Foreign Studies University (BFSU) in China, to unveil a series of activities held in China on October 2018.",nan,nan
